X,Y,OBJECTID,APPLICATION_NUMBER,STREET_NUMBER,STREET_NAME,POSTAL_CODE,APP_SUBMITTED_DATE,APP_STATUS,DECISION_DATE,APPEALED,THIRD_PARTY_APPEAL,APPEAL_TYPE,APPEAL_DATE,APPEAL_DECISION_DATE,SE_ANNO_CAD_DATA
571886.531165319,4791436.37724891,1,FL/A-22:366,1738,HWY 5  W FLAMBOROUGH,L0R 2B0,2022/11/11 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
571820.710329351,4791426.90009536,2,FL/A-22:367,1742,HWY 5  W FLAMBOROUGH,L0R 2B0,2022/11/11 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
590894.549717286,4790949.37019035,3,HM/A-21:438,34,CROOKS ST  HAMILTON,L8R 2Z6,2021/12/09 05:00:00+00,Variance Granted,2023/03/09 05:00:00+00,No,No,,,,
590539.949941484,4790966.12961088,4,HM/A-22:265,8,DEVONPORT ST  HAMILTON,L8R 3C6,2022/08/03 04:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
591880.479886201,4790863.80022956,5,HM/A-22:320,52,BARTON ST W HAMILTON,L8L 1A4,2022/10/05 04:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
592419.329925554,4790616.23953893,6,HM/A-22:325,110,BARTON ST E HAMILTON,L8L 2W3,2022/10/13 04:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
569692.415970656,4795782.36771825,7,FL/A-22:362,941,KIRKWALL RD  FLAMBOROUGH,L9H 5E1,2022/11/09 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
598141.019811773,4786271.06031311,8,HM/A-22:363,69,MOUNT ALBION RD  HAMILTON,L8K 5S5,2022/11/10 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
592049.889670763,4791311.43990653,9,HM/A-22:368,365,MACNAB ST N HAMILTON,L8L 1K6,2022/11/10 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
591992.573083843,4790357.34977633,10,HM/A-22:369,16,CANNON ST E HAMILTON,L8L 2H1,2022/11/14 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
575517.640168972,4796522.58961766,11,FL/A-22:372,1260,CONCESSION 5  W FLAMBOROUGH,L8B 0L5,2022/11/14 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
573951.403767985,4798161.93655037,12,FL/A-22:371,1380,CONCESSION 6  W FLAMBOROUGH,L8B 0L5,2022/11/16 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
597964.598037943,4781454.43843816,13,SC/A-22:373,28,SECOND RD W STONEY CREEK,L8J 2V3,2022/11/17 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
591270.92593102,4790107.06140365,14,HM/A-22:374,213,KING ST W HAMILTON,L8S 1L6,2022/11/17 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
584068.080603744,4791431.78980213,15,DN/A-22:377,25,WITHERSPOON ST  DUNDAS,L9H 2C6,2022/11/18 05:00:00+00,Variance Granted,2023/03/30 04:00:00+00,No,No,,,,
588895.129389895,4797114.35964561,16,FL/A-22:376,113,OVERDALE AVE  FLAMBOROUGH,L8B 0L2,2022/11/18 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
599871.727113356,4781684.56327961,17,SC/A-22:378,19,HIGHLAND RD E STONEY CREEK,L8J 2W5,2022/11/22 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
584106.130306465,4785929.46028113,18,AN/A-22:379,58,ELM HILL BLVD  ANCASTER,L9G 2V2,2022/11/22 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
588021.534214715,4798700.0747788,19,FL/A-22:380,40,MACBEAN CRES  FLAMBOROUGH,L8B 0S5,2022/11/23 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
593126.489441048,4789543.06076622,20,HM/A-22:381,14,TISDALE ST N HAMILTON,L8L 5M2,2022/11/24 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
595988.410879788,4788953.06563855,21,HM/A-22:383,174,OTTAWA ST N HAMILTON,L8H 3Z3,2022/11/25 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
590376.139555426,4790092.72079978,22,HM/A-22:384,26,POULETTE ST  HAMILTON,L8P 4E1,2022/11/25 05:00:00+00,Variance Granted,2023/01/19 05:00:00+00,No,No,,,,
584514.003089763,4791060.77391778,23,DN/A-22:385,118,PARK ST W DUNDAS,L9H 1X4,2022/12/01 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
594429.886533857,4789698.30955613,24,HM/A-22:386,4,ROSEMONT AVE  HAMILTON,L8L 2M6,2022/12/01 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
593316.813921584,4787956.08962699,25,HM/A-22:388,46,EAST 24TH ST  HAMILTON,L8V 2X8,2022/12/02 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
580315.365538858,4783669.14675206,26,AN/A-22:389,16,CHAPMAN LANE  ANCASTER,L9G 0A5,2022/12/02 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
590135.259572484,4789883.25061983,27,HM/A-22:390,94,MELBOURNE ST  HAMILTON,L8P 2A6,2022/12/02 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
579845.475747738,4789201.87823978,28,DN/A-22:394,1141,GOVERNORS RD  DUNDAS,L9H 5E3,2022/12/05 05:00:00+00,Withdrawn,,No,No,,,,
592625.100928018,4783056.06869531,29,HM/A-22:392,741,RYMAL RD E HAMILTON,L8W 1B6,2022/12/07 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
595449.599569337,4790151.70075359,30,HM/A-22:393,334,GAGE AVE N HAMILTON,L8L 7A7,2022/12/07 05:00:00+00,Variance Granted,2023/02/02 05:00:00+00,No,No,,,,
